"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"0011","Reserved or Network-Specific Merchant Category Code","Y","N","1900-01-01","9999-12-31"
"0701","Reserved or Network-Specific Merchant Category Code","Y","N","1900-01-01","9999-12-31"
"0742","Veterinary Services","Y","N","1900-01-01","9999-12-31"
"0763","Agricultural Co-Operatives","Y","N","1900-01-01","9999-12-31"
"0780","Landscaping and Horticultural Services","Y","N","1900-01-01","9999-12-31"
"1520","General Contractors – Residential and Commercial","Y","N","1900-01-01","9999-12-31"
"1711","Heating, Plumbing, and Air Conditioning Contractors","Y","N","1900-01-01","9999-12-31"
"1731","Electrical Contractors","Y","N","1900-01-01","9999-12-31"
"1740","Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors","Y","N","1900-01-01","9999-12-31"
"1750","Carpentry Contractors","Y","N","1900-01-01","9999-12-31"
"1761","Roofing, Siding, and Sheet Metal Work Contractors","Y","N","1900-01-01","9999-12-31"
"1771","Concrete Work Contractors","Y","N","1900-01-01","9999-12-31"
"1799","Special Trade Contractors (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"2741","Miscellaneous Publishing and Printing","Y","N","1900-01-01","9999-12-31"
"2791","Typesetting, Plate Making and Related Services","Y","N","1900-01-01","9999-12-31"
"2842","Specialty Cleaning, Polishing and Sanitation Preparations","Y","N","1900-01-01","9999-12-31"
"3000","United Airlines United Air","Y","N","1900-01-01","9999-12-31"
"3001","American Airlines American Air","Y","N","1900-01-01","9999-12-31"
"3002","Pan American Pan Am Air","Y","N","1900-01-01","9999-12-31"
"3003","Eurofly Airlines Eurofly Air","Y","N","1900-01-01","9999-12-31"
"3004","Dragon Airlines Dragonair","Y","N","1900-01-01","9999-12-31"
"3005","British Airways British Awys","Y","N","1900-01-01","9999-12-31"
"3006","Japan Airlines Jal Airline","Y","N","1900-01-01","9999-12-31"
"3007","Air France Air France","Y","N","1900-01-01","9999-12-31"
"3008","Lufthansa Lufthansa","Y","N","1900-01-01","9999-12-31"
"3009","Air Canada Air Canada","Y","N","1900-01-01","9999-12-31"
"3010","Klm (Royal Dutch Airlines) Klm Airline","Y","N","1900-01-01","9999-12-31"
"3011","Aeroflot Aeroflot","Y","N","1900-01-01","9999-12-31"
"3012","Qantas Qantas Air","Y","N","1900-01-01","9999-12-31"
"3013","Ita Airways (Formerly Alitalia) Ita Airways (Formerly Alitalia)","Y","N","1900-01-01","9999-12-31"
"3014","Saudi Arabian Airlines Saudia Air","Y","N","1900-01-01","9999-12-31"
"3015","Swiss International Airlines Swissintair","Y","N","1900-01-01","9999-12-31"
"3016","Sas Sas","Y","N","1900-01-01","9999-12-31"
"3017","South African Airways Saa Airways","Y","N","1900-01-01","9999-12-31"
"3018","Varig (Brazil) Varig","Y","N","1900-01-01","9999-12-31"
"3019","Eastern Airlines Eastern Air","Y","N","1900-01-01","9999-12-31"
"3020","Air-India Air-India","Y","N","1900-01-01","9999-12-31"
"3021","Air Algerie Air Algerie","Y","N","1900-01-01","9999-12-31"
"3022","Philippine Airlines Pal Air","Y","N","1900-01-01","9999-12-31"
"3023","Mexicana Mexicana","Y","N","1900-01-01","9999-12-31"
"3024","Pakistan International Pakistan Air","Y","N","1900-01-01","9999-12-31"
"3025","Air New Zealand Air Nz","Y","N","1900-01-01","9999-12-31"
"3026","Emirates Airlines Emirates","Y","N","1900-01-01","9999-12-31"
"3027","Uta/interair Uta Airline","Y","N","1900-01-01","9999-12-31"
"3028","Km Malta Airlines (Formerly Air Malta) Kmma (Formerly Air Malta)","Y","N","1900-01-01","9999-12-31"
"3029","Sn Brussels Airlines Snbrsslsair","Y","N","1900-01-01","9999-12-31"
"3030","Aerolineas Argentinas Aero Argent","Y","N","1900-01-01","9999-12-31"
"3031","Olympic Airways Olympic Air","Y","N","1900-01-01","9999-12-31"
"3032","El Al El Al","Y","N","1900-01-01","9999-12-31"
"3033","Ansett Airlines Ansett Air","Y","N","1900-01-01","9999-12-31"
