CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,VN,PRCS,Processed,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,PRCS,Request processed
,VN,UNPR,Not processed,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,UNPR,Request not processed
,VN,REJT,Rejected,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,REJT,Request rejected
,VN,TECH,Technical error,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,TECH,Technical error
,VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMapping,Source value cannot be mapped
,VN,DQMissing,Source value not provided,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMissing,Source value not provided
,V10,D,Declined,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,REJT,Request rejected
,V10,A,Approved,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,PRCS,Request processed
,V10,DQMissing,Source value not provided,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMissing,Source value not provided
,V10,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMapping,Source value cannot be mapped
,V10,DQNotApplicable,Source value not required,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQNotApplicable,Source value not required
,VN,DQNotApplicable,Source value not required,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQNotApplicable,Source value not required
