CURRENCY_CODE,CURRENCY_DESCRIPTION,CURRENCY_CODE_ISO_NNN,CURRENCY_ISO_MINOR_UNIT,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
AFA,Afghani,004,2,N,Y,1927-03-14,2002-12-31
ALK,Old Lek,008,2,N,Y,1946-11-01,1965-08-16
ALL,Lek,008,2,Y,N,1965-08-16,9999-12-31
DZD,Algerian Dinar,012,2,Y,N,1964-04-01,9999-12-31
ADP,Andorran Peseta,020,0,N,Y,1936-01-01,2001-12-31
AOK,Kwanza,024,0,N,Y,1977-01-08,1991-03-01
AON,New Kwanza,024,0,N,Y,1990-09-25,2000-02-01
AZM,Azerbaijanian Manat,031,2,N,Y,1993-11-22,2006-12-31
ARY,Peso,032,2,N,Y,1970-01-01,1983-06-01
ARP,Peso Argentino,032,2,N,Y,1983-06-01,1985-06-14
ARA,Austral,032,2,N,Y,1985-06-14,1992-01-01
ARS,Argentine Peso,032,2,Y,N,1992-01-01,9999-12-31
AUD,Australian Dollar,036,2,Y,N,1966-02-14,9999-12-31
ATS,Schilling,040,2,N,Y,1947-12-04,2002-02-28
BSD,Bahamian Dollar,044,2,Y,N,1966-05-25,9999-12-31
BHD,Bahraini Dinar,048,3,Y,N,1965-10-16,9999-12-31
BDT,Taka,050,2,Y,N,1972-01-01,9999-12-31
AMD,Armenian Dram,051,2,Y,N,1993-11-22,9999-12-31
BBD,Barbados Dollar,052,2,Y,N,1973-12-03,9999-12-31
BEF,Belgian Franc,056,2,N,Y,1831-02-07,2002-02-28
BMD,Bermudian Dollar,060,2,Y,N,1970-02-06,9999-12-31
BTN,Ngultrum,064,2,Y,N,1974-04-16,9999-12-31
BOP,Peso boliviano,068,2,N,Y,1963-01-01,1986-12-31
BOB,Boliviano,068,2,Y,N,1987-01-01,9999-12-31
BAD,Dinar,070,2,N,Y,1992-07-01,1994-08-15
BWP,Pula,072,2,Y,N,1976-08-23,9999-12-31
BRB,Cruzeiro,076,2,N,Y,1967-02-13,1986-02-28
BRC,Cruzado,076,2,N,Y,1986-02-28,1989-01-15
BRN,New Cruzado,076,2,N,Y,1989-01-15,1990-03-16
BRE,Cruzeiro,076,2,N,Y,1990-03-16,1993-08-01
BZD,Belize Dollar,084,2,Y,N,1974-01-01,9999-12-31
SBD,Solomon Islands Dollar,090,2,Y,N,1977-10-24,9999-12-31
BND,Brunei Dollar,096,2,Y,N,1967-06-12,9999-12-31
BGJ,Lev A/52,100,2,N,Y,1879-07-08,1952-05-12
BGK,Lev A/62,100,2,N,Y,1952-05-12,1962-01-01
BGL,Lev,100,2,N,Y,1962-01-01,1999-07-05
BUK,Kyat,104,2,N,Y,1952-07-01,1989-06-18
MMK,Kyat,104,2,Y,N,1989-06-18,9999-12-31
BIF,Burundi Franc,108,0,Y,N,1964-05-19,9999-12-31
BYB,Belarusian Ruble,112,2,N,Y,1994-08-01,2000-12-31
KHR,Riel,116,2,Y,N,1980-03-20,9999-12-31
CAD,Canadian Dollar,124,2,Y,N,1858-01-01,9999-12-31
CVE,Cabo Verde Escudo,132,2,Y,N,1914-01-01,9999-12-31
KYD,Cayman Islands Dollar,136,2,Y,N,1971-01-01,9999-12-31
LKR,Sri Lanka Rupee,144,2,Y,N,1978-05-22,9999-12-31
CLP,Chilean Peso,152,0,Y,N,1975-09-29,9999-12-31
CNY,Yuan Renminbi,156,2,Y,N,1953-03-01,9999-12-31
COP,Colombian Peso,170,2,Y,N,1905-01-01,9999-12-31
KMF,Comorian Franc,174,0,Y,N,1975-01-01,9999-12-31
ZRZ,Zaire,180,2,N,Y,1971-10-27,1993-11-01
ZRN,New Zaire,180,2,N,Y,1993-11-01,1998-07-31
CRC,Costa Rican Colon,188,2,Y,N,1896-10-26,9999-12-31
HRD,Croatian Dinar,191,2,N,Y,1991-12-23,1994-05-30
HRK,Croatian Kuna,191,2,N,Y,1994-05-30,1995-01-01
HRK,Kuna,191,2,N,Y,2015-06-01,2023-01-14
CUP,Cuban Peso,192,2,Y,N,1859-01-01,9999-12-31
CYP,Cyprus Pound,196,2,N,Y,1914-09-10,2008-01-31
CSK,Koruna,200,2,N,Y,1953-06-01,1993-02-07
CSJ,Krona A/53,203,2,N,Y,1945-11-01,1953-05-31
CZK,Czech Koruna,203,2,Y,N,1993-02-08,9999-12-31
DKK,Danish Krone,208,2,Y,N,1873-05-27,9999-12-31
DOP,Dominican Peso,214,2,Y,N,1947-10-01,9999-12-31
ECS,Sucre,218,0,N,Y,1884-04-01,2000-10-02
SVC,El Salvador Colon,222,2,Y,N,1919-11-11,9999-12-31
GQE,Ekwele,226,2,N,Y,1975-07-07,1986-06-01
ETB,Ethiopian Birr,230,2,Y,N,1976-09-15,9999-12-31
ERN,Nakfa,232,2,Y,N,1997-11-08,9999-12-31
EEK,Kroon,233,2,N,Y,1992-06-21,2010-12-31
FKP,Falkland Islands Pound,238,2,Y,N,1901-01-01,9999-12-31
FJD,Fiji Dollar,242,2,Y,N,1969-01-13,9999-12-31
FIM,Markka,246,2,N,Y,1963-01-01,2002-02-28
FRF,French Franc,250,2,N,Y,1959-01-01,2002-02-17
DJF,Djibouti Franc,262,0,Y,N,1977-06-27,9999-12-31
GEK,Georgian Coupon,268,0,N,Y,1993-04-05,1995-09-25
GMD,Dalasi,270,2,Y,N,1971-07-01,9999-12-31
DEM,Deutsche Mark,276,2,N,Y,1948-06-20,2002-05-15
DDM,Mark der DDR,278,2,N,Y,1948-07-20,1990-10-02
GHC,Cedi,288,2,N,Y,1979-03-09,2007-12-31
GIP,Gibraltar Pound,292,2,Y,N,1713-01-01,9999-12-31
GRD,Drachma,300,0,N,Y,1954-05-01,2002-02-28
GTQ,Quetzal,320,2,Y,N,1925-05-27,9999-12-31
GNE,Syli,324,2,N,Y,1971-01-01,1985-12-31
GNS,Syli,324,2,N,Y,1972-10-02,1986-01-06
GNF,Guinean Franc,324,0,Y,N,1986-01-06,9999-12-31
GYD,Guyana Dollar,328,2,Y,N,1966-05-26,9999-12-31
HTG,Gourde,332,2,Y,N,1872-08-26,9999-12-31
HNL,Lempira,340,2,Y,N,1926-04-03,9999-12-31
HKD,Hong Kong Dollar,344,2,Y,N,1895-02-02,9999-12-31
HUF,Forint,348,2,Y,N,1946-07-23,9999-12-31
ISJ,Old Krona,352,2,N,Y,1918-12-01,1981-01-01
ISK,Iceland Krona,352,0,Y,N,1981-01-01,9999-12-31
INR,Indian Rupee,356,2,Y,N,1835-08-17,9999-12-31
IDR,Rupiah,360,2,Y,N,1965-12-13,9999-12-31
IRR,Iranian Rial,364,2,Y,N,1932-05-13,9999-12-31
IQD,Iraqi Dinar,368,3,Y,N,1931-04-19,9999-12-31
IEP,Irish Pound,372,2,N,Y,1922-01-01,2002-02-09
ILP,Pound,376,2,N,Y,1948-08-16,1980-02-22
ILR,Old Shekel,376,2,N,Y,1980-02-22,1985-09-04
ILS,New Israeli Sheqel,376,2,Y,N,1985-09-04,9999-12-31
ITL,Italian Lira,380,0,N,Y,1862-08-24,2002-02-28
JMD,Jamaican Dollar,388,2,Y,N,1969-09-08,9999-12-31
JPY,Yen,392,0,Y,N,1871-06-01,9999-12-31
XAD,Arab Accounting Dinar,396,2,Y,N,2025-05-12,9999-12-31
KZT,Tenge,398,2,Y,N,1993-11-05,9999-12-31
JOD,Jordanian Dinar,400,3,Y,N,1950-07-01,9999-12-31
KES,Kenyan Shilling,404,2,Y,N,1966-09-14,9999-12-31
KPW,North Korean Won,408,2,Y,N,1959-04-17,9999-12-31
KRW,Won,410,0,Y,N,1962-06-10,9999-12-31
KWD,Kuwaiti Dinar,414,3,Y,N,1961-04-01,9999-12-31
KGS,Som,417,2,Y,N,1993-05-10,9999-12-31
LAJ,Pathet Lao Kip,418,2,N,Y,1976-06-16,1979-12-09
LAK,Lao Kip,418,2,Y,N,1979-12-10,9999-12-31
LBP,Lebanese Pound,422,2,Y,N,1948-02-02,9999-12-31
LSM,Loti,426,2,N,Y,1900-01-01,1985-04-30
LSL,Loti,426,2,Y,N,1985-05-01,9999-12-31
LVR,Latvian Ruble,428,2,N,Y,1992-05-07,1993-10-17
LVL,Latvian Lats,428,2,N,Y,1993-06-28,2013-12-31
LRD,Liberian Dollar,430,2,Y,N,1944-01-01,9999-12-31
LYD,Libyan Dinar,434,3,Y,N,1971-09-01,9999-12-31
LTT,Talonas,440,2,N,Y,1992-10-01,1993-06-25
LTL,Lithuanian Litas,440,2,N,Y,1993-06-25,2014-12-31
LUF,Luxembourg Franc,442,2,N,Y,1944-09-04,2002-02-28
MOP,Pataca,446,2,Y,N,1901-01-01,9999-12-31
MGF,Malagasy Franc,450,0,N,Y,1963-07-01,2004-12-31
MWK,Kwacha,454,2,N,Y,1971-02-15,2016-01-31
MWK,Malawi Kwacha,454,2,Y,N,2016-02-01,9999-12-31
MYR,Malaysian Ringgit,458,2,Y,N,1963-09-16,9999-12-31
MVQ,Maldive Rupee,462,2,N,Y,1947-01-01,1981-07-01
MVR,Rufiyaa,462,2,Y,N,1981-07-01,9999-12-31
MLF,Mali Franc,466,2,N,Y,1962-07-02,1984-08-31
MTP,Maltese Pound,470,2,N,Y,1914-08-13,1968-06-07
MTL,Maltese Lira,470,2,N,Y,1968-06-07,2008-01-31
MRO,Ouguiya,478,2,N,Y,1973-06-29,2018-06-30
MUR,Mauritius Rupee,480,2,Y,N,1934-04-01,9999-12-31
MXP,Mexican Peso,484,2,N,Y,1822-01-01,1992-12-31
MXN,Mexican Peso,484,2,Y,N,1993-01-01,9999-12-31
MNT,Tugrik,496,2,Y,N,1915-03-01,9999-12-31
MDL,Moldovan Leu,498,2,Y,N,1993-11-29,9999-12-31
MAD,Moroccan Dirham,504,2,Y,N,1959-10-17,9999-12-31
MZE,Mozambique Escudo,508,2,N,Y,1975-06-25,1980-06-16
MZM,Mozambique Metical,508,2,N,Y,1980-06-16,2006-12-31
OMR,Rial Omani,512,3,Y,N,1972-11-11,9999-12-31
NAD,Namibia Dollar,516,2,Y,N,1993-01-01,9999-12-31
NPR,Nepalese Rupee,524,2,Y,N,1933-01-01,9999-12-31
NLG,Netherlands Guilder,528,2,N,Y,1813-01-01,2002-02-28
ANG,Netherlands Antillean Guilder,532,2,N,Y,1940-05-10,2025-06-30
XCG,Caribbean Guilder,532,2,Y,N,2025-03-31,9999-12-31
AWG,Aruban Florin,533,2,Y,N,1986-01-01,9999-12-31
VUV,Vatu,548,0,Y,N,1981-01-01,9999-12-31
NZD,New Zealand Dollar,554,2,Y,N,1967-07-10,9999-12-31
NIC,Cordoba,558,2,N,Y,1988-02-15,1991-04-30
NIO,Cordoba Oro,558,2,Y,N,1991-04-30,9999-12-31
NGN,Naira,566,2,Y,N,1973-01-01,9999-12-31
NOK,Norwegian Krone,578,2,Y,N,1905-06-07,9999-12-31
PKR,Pakistan Rupee,586,2,Y,N,1948-04-01,9999-12-31
PAB,Balboa,590,2,Y,N,1903-11-04,9999-12-31
PGK,Kina,598,2,Y,N,1975-09-16,9999-12-31
PYG,Guarani,600,0,Y,N,1943-11-01,9999-12-31
PEH,Sol,604,2,N,Y,1863-02-14,1985-02-01
PES,Sol,604,2,N,Y,1863-02-14,1985-02-01
PEI,Inti,604,2,N,Y,1985-02-01,1991-07-01
PEN,Nuevo Sol,604,2,N,Y,1991-07-01,2015-11-30
PEN,Sol,604,2,Y,N,2015-12-01,9999-12-31
PHP,Philippine Peso,608,2,Y,N,1946-07-04,9999-12-31
PLZ,Zloty,616,2,N,Y,1950-10-28,1994-12-31
PTE,Portuguese Escudo,620,0,N,Y,1911-05-22,2002-02-28
GWE,Guinea Escudo,624,2,N,Y,1914-01-01,1976-02-28
GWP,Guinea-Bissau Peso,624,2,N,Y,1976-02-28,1997-03-31
TPE,Timor Escudo,626,0,N,Y,1959-01-02,2002-05-20
QAR,Qatari Rial,634,2,Y,N,1973-05-19,9999-12-31
ROK,Leu A/52,642,2,N,Y,1947-08-15,1952-01-27
ROL,Old Leu,642,0,N,Y,1952-01-28,2006-12-31
