SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
VN,010,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
VN,011,David Jones,REFERENCE.CORE.BRAND,DJNAU,Latitude Financial Services Limited
VN,012,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
VN,DQMapping,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped
VN,DQMissing,#NA,REFERENCE.CORE.BRAND,DQMissing,Source value not provided
V10,101,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,141,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,151,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,161,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,162,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,216,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,226,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,227,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,228,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,300,David Jones,REFERENCE.CORE.BRAND,DJNAU,David Jones
V10,301,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,400,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,450,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,998,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V10,500,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,526,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,527,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,528,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,529,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,530,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V10,550,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V2,000,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped
V2,001,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
