CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,VN,NEWC,New card is issued,REFERENCE.CORE.CARD_ACTION_TYPE,NEWC,New card issued
,VN,ADNL,Additional card is issued,REFERENCE.CORE.CARD_ACTION_TYPE,ADNL,Additional card requested or issued
,VN,REPL,Card is replaced,REFERENCE.CORE.CARD_ACTION_TYPE,REPL,Card replaced
,VN,REIS,Card is reissued,REFERENCE.CORE.CARD_ACTION_TYPE,REIS,Card reissued
,VN,LOST,Card is lost,REFERENCE.CORE.CARD_ACTION_TYPE,LOST,Card reported lost
,VN,STLN,Card is stolen,REFERENCE.CORE.CARD_ACTION_TYPE,STLN,Card reported stolen
,VN,ACTV,Card is activated,REFERENCE.CORE.CARD_ACTION_TYPE,ACTV,Card activated
,VN,CHNG,Card PIN is changed,REFERENCE.CORE.CARD_ACTION_TYPE,CHNG,Card PIN changed
,VN,BLCK,Card is Blocked,REFERENCE.CORE.CARD_ACTION_TYPE,BLCK,Card Blocked
,VN,UPDT,Card is updated,REFERENCE.CORE.CARD_ACTION_TYPE,UPDT,Card details updated
,VN,IPTR,Card PIN is Invalid and reset was attempted,REFERENCE.CORE.CARD_ACTION_TYPE,IPTR,Invalid PIN attempt recorded and PIN reset attempted
,VN,CNTO,Contactless opt out,REFERENCE.CORE.CARD_ACTION_TYPE,CNTO,Contactless opt-out recorded
,VN,PTCR,Card PIN try counter is reset,REFERENCE.CORE.CARD_ACTION_TYPE,PTCR,Card PIN retry counter reset
,VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_ACTION_TYPE,DQMapping,Source value cannot be mapped
,VN,DQMissing,Source value not provided,REFERENCE.CORE.CARD_ACTION_TYPE,DQMissing,Source value not provided
,V10,ACTV,CARD ACTIVATION,REFERENCE.CORE.CARD_ACTION_TYPE,ACTV,Card activated
,V10,1,Add card,REFERENCE.CORE.CARD_ACTION_TYPE,NEWC,New card issued
,V10,NEWC,New card is added,REFERENCE.CORE.CARD_ACTION_TYPE,NEWC,New card issued
,V10,2,Additional card,REFERENCE.CORE.CARD_ACTION_TYPE,ADNL,Additional card requested or issued
,V10,CDBK,CARD LEVEL BLOCK,REFERENCE.CORE.CARD_ACTION_TYPE,BLCK,Card Blocked
,V10,MISS,MISS LOST CARD,REFERENCE.CORE.CARD_ACTION_TYPE,LOST,Card reported lost
,V10,REIS,REISSUE CARD,REFERENCE.CORE.CARD_ACTION_TYPE,REIS,Card reissued
,V10,7,Card reissued,REFERENCE.CORE.CARD_ACTION_TYPE,REIS,Card reissued
,V10,3,Card replaced,REFERENCE.CORE.CARD_ACTION_TYPE,REPL,Card replaced
,V10,6,Card stolen,REFERENCE.CORE.CARD_ACTION_TYPE,STLN,Card reported stolen
,V10,PCHG,PIN CHANGE REQUEST,REFERENCE.CORE.CARD_ACTION_TYPE,CHNG,Card PIN changed
,V10,ATMD,ATM DISPUTE (DOMEST),REFERENCE.CORE.CARD_ACTION_TYPE,DQMapping,Source value cannot be mapped
