CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,VN,PRCS,Processed,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,PRCS,Processed
,VN,UNPR,Not processed,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,UNPR,Not processed
,VN,REJT,Rejected,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,REJT,Rejected
,VN,TECH,Technical error,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,TECH,Technical error
,VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMapping,Source value cannot be mapped
,VN,DQMissing,Source value not provided,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMissing,Source value not provided
,V10,D,Declined,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,REJT,Rejected
,V10,A,Approved,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,PRCS,Processed
,V10,DQMissing,Source value not provided,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMissing,Source value not provided
,V10,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_AUTHORISATION_REQUEST_STATUS,DQMapping,Source value cannot be mapped
