CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,V10,AFRC,AMEX FRAUD CREDIT,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,ATMD,ATM DISPUTE (INT'L),REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,ATMI,ATM DISPUTE (INT'L),REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,BDIS,SMWDISPUTED ITEM,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,BPDS,BPAY DISPUTE,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,DCDQ,\C DISPUTE QUEUE,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,DISP,ON-US DISPUTE,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,FALC,OVRD FALC FRD D\LINE,REFERENCE.CORE.CARD_FRAUD_STATUS,NONE,No fraud indicator present
,V10,FDIS,FALCON VISA DISPUTES,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,FISC,FALCON MISC NOTE,REFERENCE.CORE.CARD_FRAUD_STATUS,NONE,No fraud indicator present
,V10,FLAH,FALCON AFTER HOURS,REFERENCE.CORE.CARD_FRAUD_STATUS,NONE,No fraud indicator present
,V10,FNIC,FRAUD NO VALIDATE CR,REFERENCE.CORE.CARD_FRAUD_STATUS,SUSPECTED_FRAUD,Fraud is suspected but not confirmed
,V10,FNID,FRAUD NO VALIDATE DR,REFERENCE.CORE.CARD_FRAUD_STATUS,SUSPECTED_FRAUD,Fraud is suspected but not confirmed
,V10,FRDA,REFER TO APP FRAUD,REFERENCE.CORE.CARD_FRAUD_STATUS,SUSPECTED_FRAUD,Fraud is suspected but not confirmed
,V10,FRDT,TRANSACTION FRAUD,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,FRUD,FRAUD,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,FSCC,SCAM FRAUD CR,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,FSCD,SCAM FRAUD DR,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,FWIL,FRAUD WRITE-OFF,REFERENCE.CORE.CARD_FRAUD_STATUS,CONFIRMED_FRAUD,Fraud has been confirmed
,V10,FWLR,FRAUD WRITE OFF REV,REFERENCE.CORE.CARD_FRAUD_STATUS,NONE,No fraud indicator present
,V10,INTR,DISPUTE REL-GE FAV,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,MDIR,MCARD DISP REFERRED,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,MDIS,MCARD DISPUTED ITEM,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,OPPD,PHONE PMT DD DISPUTE,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,SAFE,FRAUD DISPUTE,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
,V10,SCGR,SCAM GOODWILL WV REV,REFERENCE.CORE.CARD_FRAUD_STATUS,DQNotApplicable,Fraud status does not apply to this row
