CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,V10,036,Australian Dollar,REFERENCE.CORE.CURRENCY,AUD,Australian Dollar
,V10,554,New Zealand Dollar,REFERENCE.CORE.CURRENCY,NZD,New Zealand Dollar
,V2,036,Australian Dollar,REFERENCE.CORE.CURRENCY,AUD,Australian Dollar
,V2,554,New Zealand Dollar,REFERENCE.CORE.CURRENCY,NZD,New Zealand Dollar
,V8,971,Afghani,REFERENCE.CORE.CURRENCY,AFN,Afghani
,V8,012,Algerian Dinar,REFERENCE.CORE.CURRENCY,DZD,Algerian Dinar
,V8,051,Armenian Dram,REFERENCE.CORE.CURRENCY,AMD,Armenian Dram
,V8,533,Aruban Florin,REFERENCE.CORE.CURRENCY,AWG,Aruban Florin
,V8,032,Austral,REFERENCE.CORE.CURRENCY,ARA,Austral
,V8,036,Australian Dollar,REFERENCE.CORE.CURRENCY,AUD,Australian Dollar
,V8,944,Azerbaijan Manat,REFERENCE.CORE.CURRENCY,AZN,Azerbaijan Manat
,V8,044,Bahamian Dollar,REFERENCE.CORE.CURRENCY,BSD,Bahamian Dollar
,V8,048,Bahraini Dinar,REFERENCE.CORE.CURRENCY,BHD,Bahraini Dinar
,V8,764,Baht,REFERENCE.CORE.CURRENCY,THB,Baht
,V8,590,Balboa,REFERENCE.CORE.CURRENCY,PAB,Balboa
,V8,052,Barbados Dollar,REFERENCE.CORE.CURRENCY,BBD,Barbados Dollar
,V8,933,Belarusian Ruble,REFERENCE.CORE.CURRENCY,BYN,Belarusian Ruble
,V8,974,Belarusian Ruble,REFERENCE.CORE.CURRENCY,BYR,Belarusian Ruble
,V8,084,Belize Dollar,REFERENCE.CORE.CURRENCY,BZD,Belize Dollar
,V8,060,Bermudian Dollar,REFERENCE.CORE.CURRENCY,BMD,Bermudian Dollar
,V8,937,Bolivar Fuerte,REFERENCE.CORE.CURRENCY,VEF,Bolivar Fuerte
,V8,928,Bolívar Soberano,REFERENCE.CORE.CURRENCY,VES,Bolívar Soberano
,V8,068,Boliviano,REFERENCE.CORE.CURRENCY,BOB,Boliviano
,V8,986,Brazilian Real,REFERENCE.CORE.CURRENCY,BRL,Brazilian Real
,V8,096,Brunei Dollar,REFERENCE.CORE.CURRENCY,BND,Brunei Dollar
,V8,975,Bulgarian Lev,REFERENCE.CORE.CURRENCY,BGN,Bulgarian Lev
,V8,108,Burundi Franc,REFERENCE.CORE.CURRENCY,BIF,Burundi Franc
,V8,132,Cabo Verde Escudo,REFERENCE.CORE.CURRENCY,CVE,Cabo Verde Escudo
,V8,124,Canadian Dollar,REFERENCE.CORE.CURRENCY,CAD,Canadian Dollar
,V8,136,Cayman Islands Dollar,REFERENCE.CORE.CURRENCY,KYD,Cayman Islands Dollar
,V8,952,CFA Franc BCEAO,REFERENCE.CORE.CURRENCY,XOF,CFA Franc BCEAO
,V8,950,CFA Franc BEAC,REFERENCE.CORE.CURRENCY,XAF,CFA Franc BEAC
,V8,953,CFP Franc,REFERENCE.CORE.CURRENCY,XPF,CFP Franc
,V8,152,Chilean Peso,REFERENCE.CORE.CURRENCY,CLP,Chilean Peso
,V8,170,Colombian Peso,REFERENCE.CORE.CURRENCY,COP,Colombian Peso
,V8,976,Congolese Franc,REFERENCE.CORE.CURRENCY,CDF,Congolese Franc
,V8,977,Convertible Mark,REFERENCE.CORE.CURRENCY,BAM,Convertible Mark
,V8,558,Cordoba,REFERENCE.CORE.CURRENCY,NIC,Cordoba
,V8,188,Costa Rican Colon,REFERENCE.CORE.CURRENCY,CRC,Costa Rican Colon
,V8,191,Croatian Dinar,REFERENCE.CORE.CURRENCY,HRD,Croatian Dinar
,V8,270,Dalasi,REFERENCE.CORE.CURRENCY,GMD,Dalasi
,V8,208,Danish Krone,REFERENCE.CORE.CURRENCY,DKK,Danish Krone
,V8,807,Denar,REFERENCE.CORE.CURRENCY,MKD,Denar
,V8,262,Djibouti Franc,REFERENCE.CORE.CURRENCY,DJF,Djibouti Franc
,V8,214,Dominican Peso,REFERENCE.CORE.CURRENCY,DOP,Dominican Peso
,V8,951,East Caribbean Dollar,REFERENCE.CORE.CURRENCY,XCD,East Caribbean Dollar
,V8,818,Egyptian Pound,REFERENCE.CORE.CURRENCY,EGP,Egyptian Pound
,V8,230,Ethiopian Birr,REFERENCE.CORE.CURRENCY,ETB,Ethiopian Birr
,V8,978,Euro,REFERENCE.CORE.CURRENCY,EUR,Euro
