CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,VN,WORK,Work Email,REFERENCE.CORE.EMAIL_TYPE,WORK,Work Email
,VN,PERS,Personal Email,REFERENCE.CORE.EMAIL_TYPE,PERS,Personal Email
,VN,DQMissing,Source value not provided,REFERENCE.CORE.EMAIL_TYPE,DQMissing,Source value not provided
,VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.EMAIL_TYPE,DQMapping,Source value cannot be mapped
,V8,DQMissing,Source value not provided,REFERENCE.CORE.EMAIL_TYPE,DQMissing,Source value not provided
,V8,DQMapping,Source value cannot be mapped,REFERENCE.CORE.EMAIL_TYPE,DQMapping,Source value cannot be mapped
,V2,DQMissing,Source value not provided,REFERENCE.CORE.EMAIL_TYPE,DQMissing,Source value not provided
,V2,DQMapping,Source value cannot be mapped,REFERENCE.CORE.EMAIL_TYPE,DQMapping,Source value cannot be mapped
,V10,DQMissing,Source value not provided,REFERENCE.CORE.EMAIL_TYPE,DQMissing,Source value not provided
,V10,DQMapping,Source value cannot be mapped,REFERENCE.CORE.EMAIL_TYPE,DQMapping,Source value cannot be mapped
