CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,VN,801,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,VN,802,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,101,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,141,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,151,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,161,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,162,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,216,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,226,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,227,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,228,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,300,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,301,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,400,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,450,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,998,Latitude Finance Australia,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSAU,Latitude Finance Australia
,V10,500,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,526,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,527,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,528,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,529,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,530,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V10,550,Latitude Financial Services Limited,REFERENCE.CORE.FINANCIAL_INSTITUTION,LFSNZ,Latitude Financial Services Limited
,V2,000,#NA,REFERENCE.CORE.FINANCIAL_INSTITUTION,DQMapping,Source value cannot be mapped	N.A.
