SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V8,9933,#NA,REFERENCE.CORE.MERCHANT_CATEGORY,DQMapping,Source value cannot be mapped
V8,9752,"U.K. Petrol Stations, Electronic Hot File",REFERENCE.CORE.MERCHANT_CATEGORY,9752,United Kingdom Petrol Stations - Electronic Hot File
V8,9751,"U.K. Supermarkets, Electronic Hot File",REFERENCE.CORE.MERCHANT_CATEGORY,9751,United Kingdom Supermarkets - Electronic Hot File
V8,9406,,REFERENCE.CORE.MERCHANT_CATEGORY,9406,Government-Owned Lotteries (Non-U.s. Region)
V8,9405,Intergoverment Transactions,REFERENCE.CORE.MERCHANT_CATEGORY,9405,U.s. Federal Government Agencies or Departments
V8,9402,Postage Stamps,REFERENCE.CORE.MERCHANT_CATEGORY,9402,Postal Services â€“ Government Only
V8,9399,Government Services (Nec) Or Fire Departments,REFERENCE.CORE.MERCHANT_CATEGORY,9399,Government Services (not elsewhere Classified)
V8,9311,Tax Payments,REFERENCE.CORE.MERCHANT_CATEGORY,9311,Tax Payments
V8,9249,#NA,REFERENCE.CORE.MERCHANT_CATEGORY,DQMapping,Source value cannot be mapped
V8,9223,Bail And Bond Payments,REFERENCE.CORE.MERCHANT_CATEGORY,9223,Bail and Bond Payments
V8,9222,Fines,REFERENCE.CORE.MERCHANT_CATEGORY,9222,Fines
V8,9211,"Alimony, Child Support Or Court Costs",REFERENCE.CORE.MERCHANT_CATEGORY,9211,"Court Costs, including Alimony and Child Support"
V8,8999,Professional Services (Nec),REFERENCE.CORE.MERCHANT_CATEGORY,8999,Professional Services (not elsewhere Classified)
V8,8966,#NA,REFERENCE.CORE.MERCHANT_CATEGORY,DQMapping,Source value cannot be mapped
V8,8931,"Accounting, Bookkeeping Or Auditing Services",REFERENCE.CORE.MERCHANT_CATEGORY,8931,"Accounting, Auditing, and Bookkeeping Services"
V8,8911,"Architectural, Engineering And Surveying Services",REFERENCE.CORE.MERCHANT_CATEGORY,8911,"Architectural, Engineering, and Surveying Services"
V8,8734,Testing Laboratories (Non-Medical Testing),REFERENCE.CORE.MERCHANT_CATEGORY,8734,Testing Laboratories (Non-Medical Testing)
V8,8699,Membership Organizations Not Elsewhere Classified,REFERENCE.CORE.MERCHANT_CATEGORY,8699,Membership Organizations (not elsewhere Classified)
V8,8675,Automobile Associations,REFERENCE.CORE.MERCHANT_CATEGORY,8675,Automobile Associations
V8,8661,Religious Organizations,REFERENCE.CORE.MERCHANT_CATEGORY,8661,Religious Organizations
V8,8651,Political Organizations,REFERENCE.CORE.MERCHANT_CATEGORY,8651,Political Organizations
V8,8641,"Social, Fraternal Or Civic Associations",REFERENCE.CORE.MERCHANT_CATEGORY,8641,"Civic, Social, and Fraternal Associations"
V8,8398,Charitable Or Social Services Organizations,REFERENCE.CORE.MERCHANT_CATEGORY,8398,Charitable Social Service Organizations
V8,8351,Day Or Child Care Services,REFERENCE.CORE.MERCHANT_CATEGORY,8351,Child Care Services
V8,8299,Schools And Educational Services (Nec),REFERENCE.CORE.MERCHANT_CATEGORY,8299,Schools and Educational Services (not elsewhere Classified)
V8,8249,Vocational Or Trade Schools,REFERENCE.CORE.MERCHANT_CATEGORY,8249,Vocational and Trade Schools
V8,8244,Business Schools Or Secretarial Schools,REFERENCE.CORE.MERCHANT_CATEGORY,8244,Business and Secretarial Schools
V8,8241,Correspondence Schools,REFERENCE.CORE.MERCHANT_CATEGORY,8241,Correspondence Schools
V8,8220,"Universities, Colleges, Sr Colleges Or Professional Schools",REFERENCE.CORE.MERCHANT_CATEGORY,8220,"Colleges, Universities, Professional Schools, and Junior Colleges"
V8,8211,Elementary Or Secondary Schools,REFERENCE.CORE.MERCHANT_CATEGORY,8211,Elementary and Secondary Schools
V8,8111,Attorneys Or Legal Services,REFERENCE.CORE.MERCHANT_CATEGORY,8111,Legal Services and Attorneys
V8,8099,Medical Services And Health Practitioners (Nec),REFERENCE.CORE.MERCHANT_CATEGORY,8099,Medical Services and Health Practitioners (not elsewhere Classified)
V8,8082,#NA,REFERENCE.CORE.MERCHANT_CATEGORY,DQMapping,Source value cannot be mapped
V8,8071,Dental Laboratories Or Medical Laboratories,REFERENCE.CORE.MERCHANT_CATEGORY,8071,Medical and Dental Laboratories
V8,8062,Hospitals,REFERENCE.CORE.MERCHANT_CATEGORY,8062,Hospitals
V8,8050,Convalescent Homes Or Nursing And Personal Care Facilities,REFERENCE.CORE.MERCHANT_CATEGORY,8050,"Nursing, Home Healthcare and Personal Care Facilities"
V8,8049,Chiropodists Or Podiatrists,REFERENCE.CORE.MERCHANT_CATEGORY,8049,Podiatrists and Chiropodists
V8,8043,Opticians,REFERENCE.CORE.MERCHANT_CATEGORY,8043,"Opticians, Optical Goods, and Eyeglasses"
V8,8042,Ophthalmologists Or Optometrists,REFERENCE.CORE.MERCHANT_CATEGORY,8042,Optometrists and Ophthalmologists
V8,8041,Chiropractors,REFERENCE.CORE.MERCHANT_CATEGORY,8041,Chiropractors
V8,8031,Osteopaths,REFERENCE.CORE.MERCHANT_CATEGORY,8031,Osteopaths
V8,8021,Dentists Or Orthodontists,REFERENCE.CORE.MERCHANT_CATEGORY,8021,Dentists and Orthodontists
V8,8011,Doctors Or Physicians,REFERENCE.CORE.MERCHANT_CATEGORY,8011,Doctors and Physicians (not elsewhere Classified)
V8,7999,Amusement/Recreational Services Not Elsewhere Classified,REFERENCE.CORE.MERCHANT_CATEGORY,7999,Recreation Services (not elsewhere Classified)
V8,7998,"Aquariums, Seaquariums, Dolphinariums",REFERENCE.CORE.MERCHANT_CATEGORY,7998,"Aquariums, Seaquariums, Dolphinariums, and Zoos"
V8,7997,"Membership Clubs Incl Sports, Rec, Athletic, Country, Golf",REFERENCE.CORE.MERCHANT_CATEGORY,7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
V8,7996,"Amusement Parks, Carnivals, Circuses Or Fortune Tellers",REFERENCE.CORE.MERCHANT_CATEGORY,7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers"
V8,7995,"Betting, Wagering, Lottery, Gambling Tickets Or Chips",REFERENCE.CORE.MERCHANT_CATEGORY,7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, Wagers At Race Tracks and Games of Chance to"
V8,7994,Video Game Arcades/Establishments,REFERENCE.CORE.MERCHANT_CATEGORY,7994,Video Game Arcades/establishments
V8,7993,Video Amusement Game Supplies,REFERENCE.CORE.MERCHANT_CATEGORY,7993,Video Amusement Game Supplies
V8,7992,Golf Courses -- Public,REFERENCE.CORE.MERCHANT_CATEGORY,7992,Public Golf Courses
V8,7991,Tourist Attractions And Exhibits,REFERENCE.CORE.MERCHANT_CATEGORY,7991,Tourist Attractions and Exhibits
V8,7941,"Commercial/Professional Sports, Promoters, Athletic Fields",REFERENCE.CORE.MERCHANT_CATEGORY,7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters"
V8,7933,Bowling Alleys,REFERENCE.CORE.MERCHANT_CATEGORY,7933,Bowling Alleys
V8,7932,Billiard And Pool Establishments,REFERENCE.CORE.MERCHANT_CATEGORY,7932,Billiard and Pool Establishments
V8,7929,"Bands, Orchestras Or Entertainers",REFERENCE.CORE.MERCHANT_CATEGORY,7929,"Bands, Orchestras, and Miscellaneous Entertainers (not elsewhere Classified)"
V8,7922,"Theatrical Producers (Excl Motion Pictures), Ticket Agencies",REFERENCE.CORE.MERCHANT_CATEGORY,7922,Ticket Agencies and Theatrical Producers (Except Motion Pictures)
V8,7911,"Dance Halls, Studios And Schools",REFERENCE.CORE.MERCHANT_CATEGORY,7911,"Dance Halls, Studios and Schools"
V8,7841,Video Tape Rental Stores,REFERENCE.CORE.MERCHANT_CATEGORY,7841,Dvd/video Tape Rental Stores
V8,7832,Motion Picture Theaters,REFERENCE.CORE.MERCHANT_CATEGORY,7832,Motion Picture Theaters
V8,7829,Motion Picture And Video Tape Production And Distribution,REFERENCE.CORE.MERCHANT_CATEGORY,7829,Motion Picture and Video Tape Production and Distribution
V8,7801,Government Licensed Casinos (Online Gambling),REFERENCE.CORE.MERCHANT_CATEGORY,7801,Government Licensed On-Line Casinos (On-Line Gambling) (Us Region Only)
V8,7699,Repair Shops And Related Services -- Miscellaneous,REFERENCE.CORE.MERCHANT_CATEGORY,7699,Miscellaneous Repair Shops and Related Services
V8,7692,Welding,REFERENCE.CORE.MERCHANT_CATEGORY,7692,Welding Services
V8,7641,Reupholstery And Furniture Repair,REFERENCE.CORE.MERCHANT_CATEGORY,7641,"Furniture â€“ Reupholstery, Repair, and Refinishing"
V8,7631,"Clock, Jewelry Or Watch Repair",REFERENCE.CORE.MERCHANT_CATEGORY,7631,"Watch, Clock and Jewelry Repair"
V8,7629,Appliance Or Electrical Repair Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7629,Electrical and Small Appliance Repair Shops
V8,7623,Air Conditioning Or Refrigeration Repair Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7623,Air Conditioning and Refrigeration Repair Shops
V8,7622,"Radio, Stereo Or Television Repair Shops",REFERENCE.CORE.MERCHANT_CATEGORY,7622,Electronics Repair Shops
V8,7549,Towing Services,REFERENCE.CORE.MERCHANT_CATEGORY,7549,Towing Services
V8,7542,Car Washes,REFERENCE.CORE.MERCHANT_CATEGORY,7542,Car Washes
V8,7538,Automotive Service Shops (Non-Dealer),REFERENCE.CORE.MERCHANT_CATEGORY,7538,Automotive Service Shops (Non-Dealer)
V8,7535,Automotive Paint Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7535,Automotive Paint Shops
V8,7534,Tire Retreading And Repair Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7534,Tire Retreading and Repair Shops
V8,7531,Automotive Body Repair Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7531,Automotive Body Repair Shops
V8,7523,Automobile Parking Or Parking Lots,REFERENCE.CORE.MERCHANT_CATEGORY,7523,"Parking Lots, Parking Meters and Garages"
V8,7519,Recreational Vehicle Rentals Or Motor Home Rentals,REFERENCE.CORE.MERCHANT_CATEGORY,7519,Motor Home and Recreational Vehicle Rentals
V8,7513,"Rentals -- Trucks, Trailers Or Utility Trailers",REFERENCE.CORE.MERCHANT_CATEGORY,7513,Truck and Utility Trailer Rentals
V8,7512,Car Rental Agencies -- Not Listed Below,REFERENCE.CORE.MERCHANT_CATEGORY,7512,Automobile Rental Agency
V8,7511,Truck Stop Transactions,REFERENCE.CORE.MERCHANT_CATEGORY,7511,Truck Stop
V8,7399,Business Services (Nec),REFERENCE.CORE.MERCHANT_CATEGORY,7399,Business Services (not elsewhere Classified)
V8,7395,"Photofinishing Laboratories, Photo Developing",REFERENCE.CORE.MERCHANT_CATEGORY,7395,Photofinishing Laboratories and Photo Developing
V8,7394,"Equip, Tool, Furniture, Appliance Lease/Rental",REFERENCE.CORE.MERCHANT_CATEGORY,7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing"
V8,7393,"Detective Agency, Protective Serv, Guard Dog, Armored Car",REFERENCE.CORE.MERCHANT_CATEGORY,7393,"Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs"
V8,7392,"Management, Public Relations Or Consulting Services",REFERENCE.CORE.MERCHANT_CATEGORY,7392,"Management, Consulting, and Public Relations Services"
V8,7379,"Computer Maintenance, Repair And Services",REFERENCE.CORE.MERCHANT_CATEGORY,7379,"Computer Maintenance, Repair and Services (not elsewhere Classified)"
V8,7375,Information Retrieval Services,REFERENCE.CORE.MERCHANT_CATEGORY,7375,Information Retrieval Services
V8,7372,"Computer Programming, Systems Design Or Data Processing Serv",REFERENCE.CORE.MERCHANT_CATEGORY,7372,"Computer Programming, Data Processing, and Integrated Systems Design Services"
V8,7361,Employment Agencies Or Temporary Help Services,REFERENCE.CORE.MERCHANT_CATEGORY,7361,Employment Agencies and Temporary Help Services
V8,7349,"Cleaning And Maintenance, Janitorial Services",REFERENCE.CORE.MERCHANT_CATEGORY,7349,"Cleaning, Maintenance, and Janitorial Services"
V8,7342,Disinfecting Or Exterminating Services,REFERENCE.CORE.MERCHANT_CATEGORY,7342,Exterminating and Disinfecting Services
V8,7339,Stenographic Services,REFERENCE.CORE.MERCHANT_CATEGORY,7339,Stenographic and Secretarial Support
