SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
VN,PHON,Home Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,PHON,Home Phone
VN,MOBL,Mobile Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,MOBL,Mobile Phone
VN,WORK,Work Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,WORK,Work Phone
VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMapping,Source value cannot be mapped
VN,DQMissing,Source value not provided,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMissing,Source value not provided
V10,PHON,Home Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,PHON,Home Phone
V10,MOBL,Mobile Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,MOBL,Mobile Phone
V10,WORK,Work Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,WORK,Work Phone
V10,FAX,FAX,REFERENCE.CORE.PHONE_NUMBER_TYPE,FAX,FAX
V10,DQMapping,Source value cannot be mapped,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMapping,Source value cannot be mapped
V10,DQMissing,Source value not provided,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMissing,Source value not provided
V8,PHON,Home Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,PHON,Home Phone
V8,MOBL,Mobile Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,MOBL,Mobile Phone
V8,WORK,Work Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,WORK,Work Phone
V8,DQMapping,Source value cannot be mapped,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMapping,Source value cannot be mapped
V2,PHON,Home Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,PHON,Home Phone
V2,MOBL,Mobile Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,MOBL,Mobile Phone
V2,WORK,Work Phone,REFERENCE.CORE.PHONE_NUMBER_TYPE,WORK,Work Phone
V2,DQMapping,Source value cannot be mapped,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMapping,Source value cannot be mapped
V2,FAX,FAX,REFERENCE.CORE.PHONE_NUMBER_TYPE,FAX,FAX
V8,FAX,FAX,REFERENCE.CORE.PHONE_NUMBER_TYPE,FAX,FAX
V8,DQMissing,Source value not provided,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMissing,Source value not provided
V2,DQMissing,Source value not provided,REFERENCE.CORE.PHONE_NUMBER_TYPE,DQMissing,Source value not provided
