SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
VN,CCAUGEM,Latitude Gem Visa,REFERENCE.CORE.PRODUCT,CCAUGEM,Latitude Gem Visa
VN,CCAUGOM,GO Platinum Mastercard,REFERENCE.CORE.PRODUCT,CCAUGOM,GO Platinum Mastercard
VN,CCAULRM,Latitude Low Rate Mastercard,REFERENCE.CORE.PRODUCT,CCAULRM,Latitude Low Rate Mastercard
VN,CCAU28D,Latitude 28° Platinum Mastercard,REFERENCE.CORE.PRODUCT,CCAU28D,Latitude 28° Platinum Mastercard
VN,CCAUDJG,David Jones Prestige Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJG,David Jones Prestige Credit Card
VN,CCAUDJM,David Jones Premiere Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJM,David Jones Premiere Credit Card
VN,CCAUDJI,David Jones Icon Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJI,David Jones Icon Credit Card
VN,CCNZGEM,Gem Visa,REFERENCE.CORE.PRODUCT,CCNZGEM,Gem Visa
V2,160,GO MC Platinum,REFERENCE.CORE.PRODUCT,CCAUGOM,GO Platinum Mastercard
V2,161,GO MC Standard,REFERENCE.CORE.PRODUCT,CCAUGOM,GO Platinum Mastercard
V2,163,GO Business MC,REFERENCE.CORE.PRODUCT,GOBUSMC,Go Business Mastercard
V2,201,Low Rate MC,REFERENCE.CORE.PRODUCT,CCAULRM,Latitude Low Rate Mastercard
V2,216,Buyers Edge,REFERENCE.CORE.PRODUCT,CCAUBE,Buyer’s Edge
V2,226,CreditLine ,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V2,227,CreditLine,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V2,228,CreditLine,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V2,241,Latitude MC,REFERENCE.CORE.PRODUCT,CCAULMC,Latitude Mastercard
V2,330,28 Degrees MC,REFERENCE.CORE.PRODUCT,CCAU28D,Latitude 28° Platinum Mastercard
V2,331,David Jones Icon MC,REFERENCE.CORE.PRODUCT,CCAUDJI,David Jones Icon Credit Card
V2,332,David Jones Premiere MC,REFERENCE.CORE.PRODUCT,CCAUDJM,David Jones Premiere Credit Card
V2,333,David Jones Prestige MC,REFERENCE.CORE.PRODUCT,CCAUDJG,David Jones Prestige Credit Card
V2,405,Myer Black,REFERENCE.CORE.PRODUCT,MYERB,Myer Black
V2,500,GEM Essential NZ,REFERENCE.CORE.PRODUCT,CCNZOCV,Gem Essential
V2,526,CreditLine NZ,REFERENCE.CORE.PRODUCT,CCNZCLN,Gem CreditLine
V2,527,CreditLine NZ,REFERENCE.CORE.PRODUCT,CCNZCLN,Gem CreditLine
V2,530,CreditLine NZ,REFERENCE.CORE.PRODUCT,CLNZ,CreditLine NZ
V2,601,Eco MC,REFERENCE.CORE.PRODUCT,CCAUECO,Eco Mastercard
V8,5501,Gem Visa NZ,REFERENCE.CORE.PRODUCT,CCNZGEM,Gem Visa
V8,5001,GEM Essential NZ,REFERENCE.CORE.PRODUCT,CCNZOCV,Gem Essential
V8,400101,Infinity Visa Gold,REFERENCE.CORE.PRODUCT,CCAUING,Latitude Infinity Rewards Platinum
V8,4001,Infinity Visa Standard,REFERENCE.CORE.PRODUCT,CCAUINF,Latitude Infinity Rewards Visa
V8,4501,Gem Visa,REFERENCE.CORE.PRODUCT,CCAUGEM,Latitude Gem Visa
V10,1001,UMI,REFERENCE.CORE.PRODUCT,UMI,UMI
V10,101101,Latitude Low Rate Mastercard,REFERENCE.CORE.PRODUCT,CCAULRM,Latitude Low Rate Mastercard
V10,101121,Shell Mastercard,REFERENCE.CORE.PRODUCT,SHELLMC,Shell Mastercard
V10,141141,Latitude Mastercard,REFERENCE.CORE.PRODUCT,CCAULMC,Latitude Mastercard
V10,151330,Latitude 28° Platinum Mastercard,REFERENCE.CORE.PRODUCT,CCAU28D,Latitude 28° Platinum Mastercard
