Change Control,Source_System,Source_Entity,Source_Attribute,Source_Datatype,Join_Condition,Filter_Condition,Default_Value,Reference_Entity,Reference_Attribute,Mapping_Required_Flag,Transformation_Type,Transformation_Logic,Owner,Notes,Target_Domain,Target_Schema,Target_Entity,Target_Attribute,Target_Datatype,Technical_Description,Business_Description,Is_Nullable,Is_Primary_Key,Is_Business_Key,Is_Business_Data,Sensitivity,Scd_Type
2026-07-20 RW Rename Entity,V10,,,,,,,,,,Generated UUID,,,Surrogate Key,PAY,CORE,CARD_ACCOUNT,CARD_ACCOUNT_KEY,VARCHAR (64),,,FALSE,TRUE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CARD_ACCOUNT_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,TRUE,,,pii_category: NONE,1
,V10,ACCOUNT_BASE_SEGMENT,AMBS_LFS_SOL_CODE,VARCHAR,,,,REFERENCE.CORE.CARD_CHANNEL,CARD_CHANNEL_CODE,Y,LOOKUP,"CASE
        WHEN AMBS_LFS_SOL_CODE IS NULL OR TRIM(A.AMBS_LFS_SOL_CODE) = '' THEN 'DQMissing'
        WHEN LENGTH(TRIM(AMBS_LFS_SOL_CODE)) < 2 THEN 'DQMissing'
        ELSE SUBSTR(TRIM(AMBS_LFS_SOL_CODE), 2, 1)
    END AS CARD_CHANNEL_KEY",,,,,CARD_ACCOUNT,CARD_CHANNEL_KEY,VARCHAR (64),A unique surrogate key.,A unique surrogate key.,FALSE,FALSE,,,pii_category: NONE,1
,V10,ACCOUNT_BASE_SEGMENT,AMBS_LFS_SOL_CODE,VARCHAR,,,,REFERENCE.CORE.CARD_CHANNEL,CARD_CHANNEL_CODE,Y,LOOKUP,"CASE
        WHEN AMBS_LFS_SOL_CODE IS NULL OR TRIM(A.AMBS_LFS_SOL_CODE) = '' THEN 'DQMissing'
        WHEN LENGTH(TRIM(AMBS_LFS_SOL_CODE)) < 2 THEN 'DQMissing'
        ELSE SUBSTR(TRIM(AMBS_LFS_SOL_CODE), 2, 1)
    END AS CARD_CHANNEL_KEY",,,,,CARD_ACCOUNT,CARD_CHANNEL_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CUST_NBR,VARCHAR,,,,PAY.CORE.CARD_CUSTOMER,CUSTOMER_ID,Y,LOOKUP,,,,PAY,CORE,CARD_ACCOUNT,CARD_CUSTOMER_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CUST_NBR,VARCHAR,,,,PAY.CORE.CARD_CUSTOMER,CUSTOMER_ID,Y,LOOKUP,,,,PAY,CORE,CARD_ACCOUNT,CARD_CUSTOMER_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,"AMBS_ORG, AMBS_LOGO",VARCHAR,,,,REFERENCE.CORE.PRODUCT,PRODUCT_CODE,Y,LOOKUP,"CAST(A.AMBS_ORG AS VARCHAR) || CAST(A.AMBS_LOGO AS VARCHAR)
        AS PRODUCT_CODE",,V10 Product Code = SOURCE_CODE from REFERENCE.CORE.PRODUCT mapping,PAY,CORE,CARD_ACCOUNT,PRODUCT_KEY,VARCHAR (64),A surrogate key for the Product.,A surrogate key for the Product.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,"AMBS_ORG, AMBS_LOGO",VARCHAR,,,,REFERENCE.CORE.PRODUCT,PRODUCT_CODE,Y,LOOKUP,"CAST(A.AMBS_ORG AS VARCHAR) || CAST(A.AMBS_LOGO AS VARCHAR)
        AS PRODUCT_CODE",,V10 Product Code = SOURCE_CODE from REFERENCE.CORE.PRODUCT mapping,PAY,CORE,CARD_ACCOUNT,PRODUCT_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_ACCT,VARCHAR,,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CARD_ACCOUNT_NUMBER,VARCHAR (16777216),VisionNext Unique identification of the agreement which represents account details between the customer and the institution.,VisionNext Unique identification of the agreement which represents account details between the customer and the institution.,FALSE,FALSE,,,pii_category: NONE,1
,,ACCOUNT_BASE_SEGMENT,AMBS_APS_ACCT,VARCHAR,,,,,,,,"CASE
        WHEN A.AMBS_APS_ACCT = 0 THEN NULL
        ELSE CAST(A.AMBS_APS_ACCT AS VARCHAR)
    END AS APPLICATION_NUMBER",,,PAY,CORE,CARD_ACCOUNT,APPLICATION_NUMBER,VARCHAR (13) ,Generated by the card application process.,Generated by the card application process.,FALSE,FALSE,,,,
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_BILLING_CYCLE,"NUMBER(38,0)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,BILLING_CYCLE_DATE,NUMBER (2),Specifies the day of the month when the agreement will be billed. Valid values: 1-31,Specifies the day of the month when the agreement will be billed. Valid values: 1–31,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CRLIM,"NUMBER(38,18)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CREDIT_LIMIT_AMOUNT,"NUMBER (38,7)","Specifies  maximum amount of credit that can be extended to the party under the terms of a credit arrangement.This field is mandatory for all credit type products, and optional for other product types.","Specifies  maximum amount of credit that can be extended to the party under the terms of a credit arrangement.This field is mandatory for all credit type products, and optional for other product types.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CURR_CODE,"NUMBER(38,0)",,,,REFERENCE.CORE.CURRENCY,CURRENCY_CODE,Y,LOOKUP,"LPAD(CAST(AMBS_CURR_CODE AS VARCHAR), 3, '0')",,V10 Currency Code = SOURCE_CODE from REFERENCE.CORE.CURRENCY mapping,PAY,CORE,CARD_ACCOUNT,CREDIT_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the credit limit. For example, AUD; NZD.","The currency that applies to the credit limit. For example, AUD; NZD.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,BALANCE_TRANSFER_LIMIT_AMOUNT,"NUMBER (38,7)",Represents the monetary value associated with Balance transfer,Represents the monetary value associated with Balance transfer,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,BALANCE_TRANSFER_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the balance transfer limit. For example, AUD; NZD.","The currency that applies to the balance transfer limit. For example, AUD; NZD.",TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CASH_CRLIM,"NUMBER(38,18)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CASH_LIMIT_AMOUNT,"NUMBER (38,7)",maximum amount of cash you can withdraw or access as cash under the terms of a credit arrangement.,maximum amount of cash you can withdraw or access as cash under the terms of a credit arrangement.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CURR_CODE,"NUMBER(38,0)",,,,,,,,"LPAD(CAST(AMBS_CURR_CODE AS VARCHAR), 3, '0')",,V10 Currency Code = SOURCE_CODE from REFERENCE.CORE.CURRENCY mapping,PAY,CORE,CARD_ACCOUNT,CASH_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the cash limit. For example, AUD; NZD.","The currency that applies to the cash limit. For example, AUD; NZD.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,MONEY_TRANSFER_LIMIT_AMOUNT,"NUMBER (38,7)",Represents the monetary value associated with Money transfer,Represents the monetary value associated with Money transfer,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,MONEY_TRANSFER_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the money transfer limit. For example, AUD; NZD.","The currency that applies to the money transfer limit. For example, AUD; NZD.",TRUE,FALSE,,,pii_category: NONE,1
